id,label,group,level
229,CDK5RAP3,human protein,3
230,CELSR2,human protein,3
231,CENPF,human protein,3
232,CEP112,human protein,3
233,CEP135,human protein,3
234,CEP170,human protein,3
235,CEP170B,human protein,3
236,CEP250,human protein,3
237,CEP350,human protein,3
238,CEP43,human protein,3
239,CEP68,human protein,3
240,CERS1,human protein,3
241,CERS2,human protein,3
242,CERS6,human protein,3
243,CHMP2A,human protein,3
244,CHPF,human protein,3
245,CHPF2,human protein,3
246,CHPT1,human protein,3
247,CHRNA5,human protein,3
248,CHST14,human protein,3
249,CISD3,human protein,3
250,CIT,human protein,3
251,CKAP4,human protein,3
252,CLC4G,human protein,3
253,CLC4M,human protein,3
254,CLCC1,human protein,3
255,CLCN7,human protein,3
256,CLDN1,human protein,3
257,CLDN12,human protein,3
258,CLIP1,human protein,3
259,CLIP4,human protein,3
260,CLPB,human protein,3
261,CLU,human protein,3
262,CMIP,human protein,3
263,CMTM4,human protein,3
264,CNDP2,human protein,3
265,CNNM3,human protein,3
266,CNTNAP3,human protein,3
267,CNTNAP3B,human protein,3
268,CNTRL,human protein,3
269,COG1,human protein,3
270,COG2,human protein,3
271,COG3,human protein,3
272,COG7,human protein,3
273,COL18A1,human protein,3
274,COL6A1,human protein,3
275,COLGALT1,human protein,3
276,COMT,human protein,3
277,COPA,human protein,3
278,COPB1,human protein,3
279,COPB2,human protein,3
280,COPG2,human protein,3
281,COQ8B,human protein,3
282,CORO1C,human protein,3
283,COTL1,human protein,3
284,COX2,human protein,3
285,CPD,human protein,3
286,CREB5,human protein,3
287,CRIM1,human protein,3
288,CRKL,human protein,3
289,CRTC3,human protein,3
290,CS,human protein,3
291,CSDE1,human protein,3
292,CSGALNACT1,human protein,3
293,CSK21,human protein,3
294,CSN5,human protein,3
295,CSNK2A2,human protein,3
296,CSNK2B,human protein,3
297,CTDNEP1,human protein,3
298,CTLP3,human protein,3
299,CTNNA1,human protein,3
300,CTNNA2,human protein,3
301,CTSB,human protein,3
302,CTTN,human protein,3
303,CUL2,human protein,3
304,CUX1,human protein,3
305,CWC27,human protein,3
306,CXCL5,human protein,3
307,CYB5A,human protein,3
308,CYB5B,human protein,3
309,CYB5R3,human protein,3
310,CYBRD1,human protein,3
311,CYP1B1,human protein,3
312,CYP2S1,human protein,3
313,CYP4F8,human protein,3
314,DAD1,human protein,3
315,DAGLB,human protein,3
316,DCAF7,human protein,3
317,DCAKD,human protein,3
318,DCBLD2,human protein,3
319,DCTN2,human protein,3
320,DCTPP1,human protein,3
321,DDR1,human protein,3
322,DDT,human protein,3
323,DDX1,human protein,3
324,DDX10,human protein,3
